id,sentiment
1064306434370928640,pos
1064306432974168069,pos
1064306423985831936,pos
1064306414678491136,pos
1064306410148831232,pos
1064306409578336261,neg
1064306400581562368,pos
1064306399952494594,pos
1064306399516213248,pos
1064306396806766592,pos
1064306394525024257,neg
1064306394059468800,neg
1064306391081467904,pos
1064306378725081088,neg
1064306372257423360,neg
1064306371472982016,neg
1064306369652842498,neg
1064306363763908608,pos
1064306353747959809,pos
1064306351440969729,pos
1064306333053329410,neg
1064306328280154112,pos
1064306325851725824,neg
1064306324450758657,pos
1064306321082720257,neg
1064306316582109184,neg
1064306315932155905,neg
1064306314057146368,neg
1064306306755043329,pos
1064306306268450821,neg
1064306302745305089,pos
1064306301126303744,pos
1064306299779854336,pos
1064306299293319169,pos
1064306295988076545,pos
1064306295619108865,pos
1064306294385971200,pos
1064306293282914306,pos
1064306291605028865,pos
1064306291512918023,neg
1064306290061656065,neg
1064306287452844032,neg
1064306285535911936,neg
1064306284541947905,neg
1064306283501813760,pos
1064306282922799104,pos
1064306280980979712,neg
1064306279626231808,neg
1064306274299346945,pos
1064306266657513472,pos
1064306262689513472,neg
1064306254963752960,pos
1064306248118689794,neg
1064306247426465792,pos
1064306246189223936,pos
1064306245333647360,neg
1064306243836108800,pos
1064306240157814784,neg
1064306236479307776,pos
1064306236018049024,neg
1064306234168348672,pos
1064306233254060032,pos
1064306231970488320,pos
1064306231290953728,pos
1064306229298778112,neg
1064306229198168065,pos
1064306217605099521,pos
1064306212567744512,neg
1064306210944442369,pos
1064306210080473088,pos
1064306207140134912,pos
1064306206351732736,pos
1064306204615368709,pos
1064306203558260736,pos
1064306202182594560,pos
1064306199338790914,pos
1064306189914255361,pos
1064306189528223746,pos
1064306184742686722,pos
1064306179659190274,pos
1064306178195406848,neg
1064306164031242241,neg
1064306160138768384,neg
1064306159199313921,neg
1064306157915787264,pos
1064306152681455616,pos
1064306141927096321,pos
1064306138576035840,pos
1064306137271422976,pos
1064306135698534400,neg
1064306126521417729,neg
1064306124013346816,neg
1064306122436206592,neg
1064306121287061507,pos
1064306118413950976,pos
1064306115071131649,pos
1064306112374009856,neg
1064306108922249216,neg
1064306095903162368,neg
1064306095798112256,pos
1064306095785721856,pos
1064306093483012102,neg
1064306091633360899,pos
1064306089196486657,pos
1064306086914793473,pos
1064306085052456962,neg
1064306082196017152,pos
1064306078463270912,pos
1064306072083726336,pos
1064306061736210432,pos
1064306060838744066,pos
1064306057684676614,neg
1064306056883400704,pos
1064306055872622592,neg
1064306052475174913,pos
1064306051871203328,pos
1064306048889180161,neg
1064306047169503232,neg
1064306045453918208,pos
1064306043797282821,neg
1064306038462005248,pos
1064306028244811776,pos
1064306027217047553,pos
1064306024440520705,neg
1064306021341020162,pos
1064306014487343105,pos
1064306013850005509,pos
1064306003578167296,neg
1064305996431073281,pos
1064305995222933505,neg
1064305990881939458,pos
1064305988965040129,pos
1064305972636659712,pos
1064305972288675840,pos
1064305966877822976,neg
1064305964906631168,pos
1064305963564523522,pos
1064305962289254400,pos
1064305954290847744,pos
1064305951585574912,neg
1064305948179673088,pos
1064305939610824705,pos
1064305939044540417,neg
1064305933424058368,pos
1064305920153436160,pos
1064305917427093504,pos
1064305916588154880,pos
1064305907264339968,neg
1064305904714162178,pos
1064305895901937667,pos
1064305888821940224,pos
1064305884443103233,pos
1064305882643800064,neg
1064305881813274625,neg
1064305871893790722,neg
1064305871155601408,pos
1064305870631124992,neg
1064305869498793984,neg
1064305867124690944,neg
1064305860862771201,neg
1064305859382128640,pos
1064305855963774976,neg
1064305854072143872,pos
1064305853732253696,pos
1064305852289413120,neg
1064305847298211840,pos
1064305845993918464,neg
1064305845192790016,pos
1064305837034790913,pos
1064305835109564417,neg
1064305834920824832,neg
1064305830365933569,neg
1064305826142306304,pos
1064305817644646401,neg
1064305812061990912,pos
1064305801353940992,neg
1064305799504248838,neg
1064305796593332224,pos
1064305796186558464,pos
1064305792507990016,pos
1064305791073574915,pos
1064305789748297728,pos
1064305789496672256,neg
1064305782882226179,neg
1064305776775360512,pos
1064305771708481536,neg
1064305766515920896,pos
1064305760782274560,pos
1064305756944695296,pos
1064305755510181888,neg
1064305753035427841,neg
1064305752469327872,pos
1064305748979662848,pos
1064305745280331776,pos
1064305740217765888,neg
1064305739500417025,pos
1064305732353433607,pos
1064305728352124928,pos
1064305727701868544,pos
1064305727701831680,pos
1064305724396879873,neg
1064305720680603648,neg
1064305720240295939,pos
1064305716461105152,pos
1064305714317844485,pos
1064305711763660801,neg
1064305709448347649,pos
1064305704926945280,neg
1064305702515208192,pos
1064305694059450368,pos
1064305693640065025,pos
1064305693371613184,neg
1064305688858509312,neg
1064305687398924289,neg
1064305686333534208,pos
1064305683292549121,pos
1064305672425283584,neg
1064305672399945728,neg
1064305665206833152,neg
1064305664707780608,neg
1064305663361327105,pos
1064305659896844293,pos
1064305659494219777,pos
1064305653764767744,pos
1064305653274025984,pos
1064305640640847873,pos
1064305639827099649,pos
1064305638296047616,pos
1064305637256019969,pos
1064305636224221184,neg
1064305636089839617,pos
1064305623544811520,neg
1064305621707698182,pos
1064305619040116736,pos
1064305618050342912,pos
1064305617823809537,neg
1064305615005073409,pos
1064305614854082560,neg
1064305608336134145,neg
1064305608256618496,pos
1064305606926823424,neg
1064305595728179200,pos
1064305592276344837,pos
1064305587784204293,neg
1064305583338258437,pos
1064305577868910593,pos
1064305575331328001,neg
1064305574861578242,neg
1064305574341308416,pos
1064305572651155457,neg
1064305569538822145,neg
1064305569106968576,neg
1064305566749585408,pos
1064305565503868929,neg
1064305555840339969,neg
1064305555651604480,pos
1064305552681918464,pos
1064305552623325184,pos
1064305550488469505,pos
1064305545664974849,pos
1064305536097693696,pos
1064305533572669440,pos
1064305533342101504,pos
1064305531991613442,pos
1064305531219845120,pos
1064305526157258752,neg
1064305516158087169,neg
1064305515595886593,pos
1064305512358002689,pos
1064305506813190147,pos
1064305504636362753,neg
1064305504011337729,neg
1064305503419944960,pos
1064305503025721346,pos
1064305502916464640,neg
1064305498462269440,pos
1064305490438512640,pos
1064305490354741256,pos
1064305489494851585,neg
1064305486911037440,pos
1064305481206980613,pos
1064305477616615424,neg
1064305476270268422,pos
1064305472684113921,pos
1064305468045230080,pos
1064305464068980736,pos
1064305460105359362,neg
1064305455286165504,neg
1064305454946418688,pos
1064305453507768320,pos
1064305449074343936,neg
1064305447048380416,pos
1064305444678701057,pos
1064305443374342145,pos
1064305441235222528,pos
1064305436998946817,pos
1064305435170258945,neg
1064305433777721346,neg
1064305421127729152,pos
1064305418036375552,neg
1064305415092142080,neg
1064305411849928704,neg
1064305411690393600,pos
1064305410318974979,neg
1064305403239047169,neg
1064305399170564101,neg
1064305398667202560,neg
1064305398025527296,neg
1064305396205133824,neg
1064305395412348928,neg
1064305393793466368,pos
1064305393432637440,pos
1064305389267705857,neg
1064305386373750785,pos
1064305383949389824,pos
1064305381508374528,neg
1064305373346181120,neg
1064305373321011200,pos
1064305370150125574,neg
1064305361648328704,neg
1064305360557682688,neg
1064305357403639809,pos
1064305345416372227,pos
1064305344984182784,pos
1064305342626979840,neg
1064305339095572480,pos
1064305327191945216,pos
1064305324981723137,pos
1064305323064860672,pos
1064305309508878341,neg
1064305309336915969,neg
1064305309127254016,pos
1064305302357581824,pos
1064305300239462400,pos
1064305298238828544,neg
1064305296338812928,pos
1064305292010299392,pos
1064305289170702336,pos
1064305286561828864,pos
1064305283491450880,neg
1064305281335771136,pos
1064305280111046662,pos
1064305278433210368,pos
1064305277023993861,neg
1064305272607395847,pos
1064305270699028481,pos
1064305264063598594,neg
1064305263648346112,pos
1064305258468425729,pos
1064305250084028416,neg
1064305249467412481,pos
1064305248485937152,neg
1064305245088555008,pos
1064305245017260032,neg
1064305239669399552,pos
1064305239636017152,neg
1064305236226048001,pos
1064305235580063746,neg
1064305232417619969,pos
1064305231020863494,pos
1064305230333050882,neg
1064305224217575424,neg
1064305219864076288,pos
1064305209164337152,pos
1064305208338063360,pos
1064305200310116352,neg
1064305199882403840,neg
1064305195276918785,neg
1064305190155751424,pos
1064305189610508289,neg
1064305188108976128,neg
1064305181310009344,pos
1064305179959455747,pos
1064305177845473280,pos
1064305174880018432,neg
1064305167657357312,pos
1064305166818656256,pos
1064305166596354048,pos
1064305158765584384,pos
1064305150808993792,pos
1064305145897517056,pos
1064305141883510785,pos
1064305140893667329,pos
1064305134539325440,neg
1064305132106436608,neg
1064305129191587840,pos
1064305120853118976,pos
1064305120064753679,neg
1064305117984370689,neg
1064305116507983874,pos
1064305116067463169,neg
1064305115572637698,pos
1064305114477776897,pos
1064305112187895809,pos
1064305107079069697,pos
1064305104440848384,neg
1064305096589111296,neg
1064305096555544576,neg
1064305095154769920,pos
1064305091283435522,pos
1064305079577006080,pos
1064305079199703040,pos
1064305076213346305,neg
1064305074862780416,pos
1064305064909537280,pos
1064305055191523328,neg
1064305054944030721,pos
1064305049378193408,pos
1064305044961599488,pos
1064305037868978176,neg
1064305037810122752,pos
1064305035297853441,pos
1064305030294106113,pos
1064305017551634432,pos
1064305002460651520,neg
1064304999205937152,neg
1064304996949417992,pos
1064304996773171200,pos
1064304996647358470,neg
1064304992432078848,pos
1064304992054665217,pos
1064304990154514432,pos
1064304989416423424,pos
1064304987164106752,neg
1064304985524092928,pos
1064304980272664576,pos
1064304979220013057,neg
1064304976938168320,pos
1064304973234622464,pos
1064304968381812736,pos
1064304967220162562,neg
1064304964414160897,neg
1064304962564317184,pos
1064304961826316289,neg
1064304958659383296,neg
1064304955748626432,pos
1064304954393931776,neg
1064304950950408192,pos
1064304949293658112,neg
1064304943354437632,neg
1064304940984819712,pos
1064304938585481216,neg
1064304937851596800,neg
1064304935033032705,pos
1064304924924751873,neg
1064304919853875200,neg
1064304916854910976,pos
1064304915365928961,pos
1064304912169873408,neg
1064304911175827456,pos
1064304902732562432,pos
1064304902711713793,pos
1064304895967281158,pos
1064304894109278209,neg
1064304892712374273,pos
1064304891248676865,pos
1064304886668505093,pos
1064304886534340608,pos
1064304882071543811,pos
1064304881111101441,neg
1064304877910687744,neg
1064304866552672256,pos
1064304863494971397,pos
1064304843869716482,neg
1064304840094887936,neg
1064304836433330176,neg
1064304834986299397,neg
1064304824215367681,pos
1064304821984002051,pos
1064304819987464193,neg
1064304818389467136,pos
1064304815583318016,neg
1064304809732448257,pos
1064304804565053441,neg
1064304799133433857,neg
1064304799112253440,neg
1064304799036973057,pos
1064304797493485568,pos
1064304796084011008,pos
1064304794280624128,pos
1064304790585335808,pos
1064304788643418112,neg
1064304782020657154,pos
1064304778308710400,neg
1064304776228290565,pos
1064304775402000384,pos
1064304772780621824,pos
1064304770696077312,pos
1064304767571234816,neg
1064304766203846657,pos
1064304766052900864,pos
1064304762424836096,pos
1064304760466100224,pos
1064304754795401217,pos
1064304752886898688,pos
1064304751565787138,pos
1064304749409943552,pos
1064304747606233088,neg
1064304742304817152,pos
1064304741918932992,pos
1064304738374578176,neg
1064304738244661248,neg
1064304737263194114,neg
1064304736546013185,pos
1064304733031145473,neg
1064304721924624389,neg
1064304717516455936,neg
1064304716602052608,neg
1064304713837948928,pos
1064304713720582144,pos
1064304709047996417,neg
1064304708943310849,neg
1064304708796522498,neg
1064304708431634432,neg
1064304708213506048,pos
1064304705692753921,pos
1064304703239061504,pos
1064304701372477440,pos
1064304701179613185,neg
1064304691868164096,pos
1064304686734499840,pos
1064304686491230208,neg
1064304683836002304,pos
1064304680078069761,neg
1064304678907899904,neg
1064304668308717568,neg
1064304661077872640,pos
1064304660213784576,neg
